Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
04/10/2025,Oviedo,Levante,0,2,A,2.48,3.26,2.86,2.19,1.64
04/10/2025,Girona,Valencia,2,1,H,2.43,3.37,2.84,1.92,1.83
04/10/2025,Ath Bilbao,Mallorca,2,1,H,1.52,3.92,6.8,2.17,1.64
04/10/2025,Real Madrid,Villarreal,3,1,H,1.44,4.98,6.1,1.39,2.87
05/10/2025,Alaves,Elche,3,1,H,2.34,3.01,3.26,2.61,1.46
05/10/2025,Sevilla,Barcelona,4,1,H,5.84,4.97,1.45,1.39,2.84
05/10/2025,Espanol,Betis,1,2,A,2.57,3.38,2.63,1.79,1.96
05/10/2025,Sociedad,Vallecano,0,1,A,2.04,3.34,3.59,2.09,1.69
05/10/2025,Celta,Ath Madrid,1,1,D,4.34,3.74,1.77,1.79,1.96
17/10/2025,Oviedo,Espanol,0,2,A,2.98,3.02,2.53,2.51,1.5
18/10/2025,Sevilla,Mallorca,1,3,A,1.85,3.39,4.46,2.17,1.64
18/10/2025,Barcelona,Girona,2,1,H,1.19,7.39,12.16,1.24,3.77
18/10/2025,Villarreal,Betis,2,2,D,1.88,3.73,3.87,1.65,2.16
18/10/2025,Ath Madrid,Osasuna,1,0,H,1.37,4.68,8.72,1.84,1.9
19/10/2025,Elche,Ath Bilbao,0,0,D,3.58,3.2,2.12,2.29,1.58
19/10/2025,Celta,Sociedad,1,1,D,2.1,3.33,3.46,1.92,1.83
19/10/2025,Levante,Vallecano,0,3,A,2.75,3.33,2.5,1.91,1.83
19/10/2025,Getafe,Real Madrid,0,1,A,7.63,4.38,1.42,1.9,1.84
20/10/2025,Alaves,Valencia,0,0,D,2.25,3.06,3.4,2.39,1.54
