Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
18/10/2025,Nott'm Forest,Chelsea,0,3,A,3.75,3.74,1.93,1.68,2.13
18/10/2025,Brighton,Newcastle,2,1,H,2.61,3.48,2.62,1.84,1.92
18/10/2025,Burnley,Leeds,2,0,H,3.3,3.25,2.26,2.2,1.64
18/10/2025,Crystal Palace,Bournemouth,3,3,D,2.25,3.35,3.22,1.92,1.85
18/10/2025,Man City,Everton,2,0,H,1.38,4.92,7.91,1.69,2.12
18/10/2025,Sunderland,Wolves,2,0,H,2.46,3.07,3.13,2.43,1.53
18/10/2025,Fulham,Arsenal,0,1,A,6.14,4.13,1.54,1.89,1.87
19/10/2025,Tottenham,Aston Villa,1,2,A,2.06,3.56,3.42,1.78,1.99
19/10/2025,Liverpool,Man United,1,2,A,1.6,4.4,4.89,1.43,2.71
20/10/2025,West Ham,Brentford,0,2,A,2.46,3.37,2.82,1.85,1.91
