Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
27/08/2022,15:30,Go Ahead Eagles,Sparta Rotterdam,0,1,A,2.28,3.38,3.09,1.93,1.86,1442.5850128615855,1486.8506254174295,-44.26561255584397,0.6666666666666666,2.6666666666666665,0,0,3,0.6666666666666666,1.3333333333333333,0,1,2,0,0,0,0.0,0.0
27/08/2022,17:45,Vitesse,Waalwijk,2,2,D,1.69,3.98,4.74,1.71,2.12,1458.7387330450592,1483.8176205897175,-25.0788875446583,1.0,4.0,0,0,3,1.0,1.3333333333333333,0,2,1,0,0,0,0.0,0.0
27/08/2022,19:00,Feyenoord,FC Emmen,4,0,H,1.26,6.04,10.26,1.47,2.63,1542.5222191148716,1487.4219924710892,55.100226643782435,2.0,0.6666666666666666,2,1,0,1.6666666666666667,2.3333333333333335,1,1,1,0,0,0,0.0,0.0
27/08/2022,20:00,Heerenveen,For Sittard,2,1,H,1.63,4.11,5.01,1.6,2.3,1526.9239858149297,1444.370261657757,82.55372415717261,1.3333333333333333,0.0,1,2,0,1.0,3.3333333333333335,0,0,3,0,0,0,0.0,0.0
28/08/2022,11:15,Utrecht,Ajax,0,2,A,6.17,4.99,1.44,1.43,2.77,1471.2724331925422,1554.9647233146763,-83.69229012213418,1.3333333333333333,1.6666666666666667,0,2,1,3.3333333333333335,1.0,3,0,0,0,0,0,0.0,0.0
28/08/2022,13:30,Excelsior,PSV Eindhoven,1,6,A,8.89,6.13,1.28,1.3,3.46,1513.7080052393337,1543.7080052393337,-30.0,2.5,0.5,2,0,0,4.5,1.5,2,0,0,0,0,0,0.0,0.0
28/08/2022,13:30,Volendam,Twente,1,0,H,4.43,4.05,1.71,1.54,2.43,1501.2574319980004,1511.803373249799,-10.545941251798695,1.5,3.0,0,1,1,2.0,0.0,2,0,0,0,0,0,0.0,0.0
28/08/2022,15:45,Cambuur,AZ Alkmaar,0,1,A,4.46,3.89,1.74,1.65,2.22,1486.2908529599288,1543.0897354454746,-56.798882485545846,1.3333333333333333,1.0,1,1,1,2.5,1.0,2,0,0,0,0,0,0.0,0.0
31/08/2022,17:45,PSV Eindhoven,Volendam,7,1,H,1.09,11.34,21.77,1.17,4.62,1556.884332597248,1488.081104640086,68.80322795716188,5.0,1.3333333333333333,3,0,0,1.3333333333333333,2.0,1,1,1,0,0,0,0.0,0.0
31/08/2022,20:00,Twente,Excelsior,4,0,H,1.28,5.95,9.7,1.38,2.94,1526.885601999089,1498.6257764900438,28.259825509045186,1.3333333333333333,0.3333333333333333,2,0,1,2.0,2.3333333333333335,2,0,1,0,0,0,0.0,0.0
