HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
Leicester,Burnley,2,1,H,1.57,4.09,6.37,1.94,1.89
Tottenham,Watford,1,1,D,1.42,4.9,7.48,1.53,2.52
Wolves,Southampton,1,1,D,1.85,3.58,4.52,2.09,1.76
Crystal Palace,Man City,0,2,A,11.88,6.72,1.24,1.44,2.81
Man United,Liverpool,1,1,D,5.03,3.96,1.7,1.76,2.08
Sheffield United,Arsenal,1,0,H,3.88,3.79,1.93,1.69,2.19
Southampton,Leicester,0,9,A,3.2,3.34,2.36,2.01,1.83
Man City,Aston Villa,3,0,H,1.09,11.64,28.3,1.21,4.45
Brighton,Everton,3,2,H,2.87,3.3,2.58,2.06,1.78
Watford,Bournemouth,0,0,D,2.19,3.53,3.31,1.69,2.18
West Ham,Sheffield United,1,1,D,2.11,3.46,3.6,1.88,1.95
Burnley,Chelsea,2,4,A,4.53,4.02,1.75,1.66,2.25
Newcastle,Wolves,1,1,D,3.02,3.09,2.59,2.49,1.54
Arsenal,Crystal Palace,2,2,D,1.49,4.63,6.49,1.52,2.53
Liverpool,Tottenham,2,1,H,1.54,4.45,6.11,1.53,2.51
Norwich,Man United,1,3,A,4.36,3.91,1.8,1.67,2.22
Bournemouth,Man United,1,0,H,3.33,3.55,2.19,1.84,1.99
Arsenal,Wolves,1,1,D,1.78,3.8,4.65,1.74,2.12
Aston Villa,Liverpool,1,2,A,8.4,5.37,1.36,1.47,2.71
Brighton,Norwich,2,0,H,1.71,4.17,4.65,1.66,2.25
Man City,Southampton,2,1,H,1.08,11.99,29.72,1.22,4.27
Sheffield United,Burnley,3,0,H,2.26,3.22,3.46,2.33,1.62
West Ham,Newcastle,2,3,A,1.79,3.82,4.55,1.83,2.0
Watford,Chelsea,1,2,A,4.99,4.24,1.65,1.63,2.29
Crystal Palace,Leicester,0,2,A,3.5,3.38,2.17,2.05,1.78
Everton,Tottenham,1,1,D,2.73,3.49,2.57,1.74,2.11
Norwich,Watford,0,2,A,2.68,3.57,2.6,1.69,2.21
Chelsea,Crystal Palace,2,0,H,1.34,5.35,9.29,1.58,2.4
Burnley,West Ham,3,0,H,2.27,3.55,3.13,1.71,2.17
Newcastle,Bournemouth,2,1,H,2.64,3.21,2.84,2.07,1.77
Southampton,Everton,1,2,A,2.96,3.37,2.44,1.94,1.89
Tottenham,Sheffield United,1,1,D,1.58,4.14,6.02,1.79,2.04
Leicester,Arsenal,2,0,H,1.99,3.78,3.62,1.57,2.42
Man United,Brighton,3,1,H,1.67,3.67,5.82,2.02,1.82
Wolves,Aston Villa,2,1,H,1.9,3.6,4.24,1.87,1.96
Liverpool,Man City,3,1,H,2.56,3.58,2.68,1.63,2.3
West Ham,Tottenham,2,3,A,4.32,4.14,1.75,1.55,2.47
Arsenal,Southampton,2,2,D,1.47,4.75,6.55,1.47,2.67
Bournemouth,Wolves,1,2,A,2.82,3.3,2.59,2.02,1.81
Brighton,Leicester,0,2,A,3.69,3.53,2.04,1.89,1.93
Crystal Palace,Liverpool,1,2,A,7.33,4.62,1.45,1.67,2.22
Everton,Norwich,0,2,A,1.4,5.0,7.73,1.55,2.45
Watford,Burnley,0,3,A,2.33,3.31,3.2,2.02,1.81
Man City,Chelsea,2,1,H,1.45,4.96,6.64,1.4,2.92
Sheffield United,Man United,3,3,D,3.55,3.28,2.18,2.18,1.69
Aston Villa,Newcastle,2,0,H,2.11,3.46,3.55,1.92,1.9
Newcastle,Man City,2,2,D,15.11,7.59,1.18,1.44,2.79
Burnley,Crystal Palace,0,2,A,2.31,3.26,3.3,2.22,1.67
Chelsea,West Ham,0,1,A,1.3,5.94,9.63,1.4,2.94
Liverpool,Brighton,2,1,H,1.21,6.85,14.67,1.47,2.7
Tottenham,Bournemouth,3,2,H,1.38,5.19,7.86,1.51,2.57
Southampton,Watford,2,1,H,2.12,3.5,3.51,1.91,1.91
Norwich,Arsenal,2,2,D,4.14,4.22,1.77,1.41,2.89
Wolves,Sheffield United,1,1,D,1.92,3.43,4.35,2.3,1.63
Leicester,Everton,2,1,H,1.64,4.08,5.33,1.81,2.02
Man United,Aston Villa,2,2,D,1.49,4.38,7.08,1.69,2.18
Crystal Palace,Bournemouth,1,0,H,2.24,3.38,3.34,2.03,1.8
Burnley,Man City,1,4,A,11.59,6.41,1.25,1.48,2.68
Chelsea,Aston Villa,2,1,H,1.3,5.85,9.89,1.42,2.86
Leicester,Watford,2,0,H,1.36,5.13,8.81,1.63,2.3
