HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
Reims,St Etienne,3,1,H,1.99,3.26,4.1,2.48,1.54
Nantes,Dijon,1,0,H,1.8,3.67,4.48,2.09,1.74
Marseille,Bordeaux,3,1,H,1.61,4.1,5.37,1.9,1.9
Lille,Montpellier,2,1,H,1.76,3.56,5.03,2.21,1.67
Metz,Marseille,1,1,D,4.53,3.68,1.79,2.1,1.73
Amiens,Dijon,1,1,D,2.03,3.33,3.88,2.15,1.7
Angers,Monaco,0,0,D,3.15,3.44,2.26,1.76,2.06
Brest,Nice,0,0,D,2.66,3.29,2.68,1.92,1.88
Nimes,Nantes,0,1,A,3.28,3.16,2.32,2.34,1.59
Toulouse,Reims,0,1,A,3.19,3.17,2.37,2.3,1.61
Bordeaux,Strasbourg,0,1,A,2.25,3.17,3.41,2.32,1.6
Lyon,Rennes,0,1,A,1.69,3.84,4.99,1.84,1.97
St Etienne,Paris SG,0,4,A,7.59,5.15,1.37,1.53,2.48
Dijon,Metz,2,2,D,2.12,3.18,3.76,2.44,1.55
Marseille,Nimes,3,1,H,1.28,5.69,10.19,1.63,2.27
Monaco,Lille,5,1,H,2.1,3.52,3.4,1.86,1.95
Montpellier,Brest,4,0,H,1.56,3.91,6.36,2.01,1.8
Nantes,Angers,1,2,A,2.12,3.09,3.86,2.51,1.52
Nice,Toulouse,3,0,H,1.67,4.01,4.84,1.77,2.05
Paris SG,Amiens,4,1,H,1.07,11.65,28.83,1.22,4.09
Reims,Lyon,1,1,D,2.82,3.02,2.71,2.36,1.58
Rennes,Bordeaux,1,0,H,2.03,3.27,3.93,2.31,1.61
Strasbourg,St Etienne,2,1,H,2.08,3.26,3.76,2.24,1.64
Bayern Munich,Hertha,2,2,D,1.18,7.55,15.04,1.34,3.24
Dortmund,Augsburg,5,1,H,1.22,6.62,13.38,1.43,2.79
Freiburg,Mainz,3,0,H,2.2,3.37,3.36,1.93,1.88
Leverkusen,Paderborn,3,2,H,1.28,5.97,10.27,1.38,3.03
Werder Bremen,Fortuna Dusseldorf,1,3,A,1.74,3.93,4.57,1.67,2.21
Wolfsburg,FC Koln,2,1,H,1.91,3.74,3.91,1.67,2.21
M'gladbach,Schalke 04,0,0,D,2.06,3.49,3.6,1.78,2.04
Ein Frankfurt,Hoffenheim,1,0,H,2.32,3.65,2.92,1.54,2.46
Union Berlin,RB Leipzig,0,4,A,4.63,4.02,1.72,1.71,2.13
FC Koln,Dortmund,1,3,A,6.18,4.74,1.48,1.45,2.73
Augsburg,Union Berlin,1,1,D,2.24,3.32,3.31,1.95,1.86
Fortuna Dusseldorf,Leverkusen,1,3,A,4.36,4.2,1.72,1.46,2.69
Hoffenheim,Werder Bremen,3,2,H,1.88,3.92,3.83,1.49,2.62
Mainz,M'gladbach,1,3,A,2.86,3.42,2.46,1.8,2.03
Paderborn,Freiburg,1,3,A,2.38,3.6,2.84,1.61,2.31
Schalke 04,Bayern Munich,0,3,A,8.12,4.93,1.38,1.59,2.35
RB Leipzig,Ein Frankfurt,2,1,H,1.49,4.63,6.06,1.5,2.59
Hertha,Wolfsburg,0,3,A,2.42,3.46,2.87,1.75,2.09
M'gladbach,RB Leipzig,1,3,A,3.28,3.76,2.11,1.6,2.35
Bayern Munich,Mainz,6,1,H,1.09,11.05,28.84,1.24,3.93
Freiburg,FC Koln,1,2,A,2.45,3.45,2.87,1.73,2.11
Leverkusen,Hoffenheim,0,0,D,1.55,4.88,5.08,1.35,3.17
Schalke 04,Hertha,3,0,H,2.12,3.45,3.51,1.83,1.98
Wolfsburg,Paderborn,1,1,D,1.46,4.85,6.46,1.39,2.96
Union Berlin,Dortmund,3,1,H,8.99,5.56,1.32,1.46,2.7
Werder Bremen,Augsburg,3,2,H,1.7,4.03,4.77,1.59,2.36
Ein Frankfurt,Fortuna Dusseldorf,2,1,H,1.69,4.08,4.77,1.55,2.43
Fortuna Dusseldorf,Wolfsburg,1,1,D,3.03,3.62,2.28,1.65,2.24
Augsburg,Ein Frankfurt,2,1,H,3.48,3.69,2.05,1.61,2.32
Dortmund,Leverkusen,4,0,H,1.82,4.01,4.04,1.43,2.81
FC Koln,M'gladbach,0,1,A,2.57,3.53,2.66,1.65,2.24
Mainz,Hertha,2,1,H,2.38,3.44,2.98,1.78,2.05
Union Berlin,Werder Bremen,1,2,A,2.79,3.5,2.48,1.67,2.21
RB Leipzig,Bayern Munich,1,1,D,3.78,4.04,1.87,1.47,2.68
Hoffenheim,Freiburg,0,3,A,1.69,4.2,4.6,1.55,2.45
Paderborn,Schalke 04,1,5,A,3.04,3.64,2.26,1.54,2.45
Schalke 04,Mainz,2,1,H,1.66,4.07,5.11,1.67,2.22
Bayern Munich,FC Koln,4,0,H,1.12,9.25,21.04,1.25,3.83
Freiburg,Augsburg,1,1,D,1.9,3.77,3.92,1.67,2.21
Hertha,Paderborn,2,1,H,1.73,4.02,4.54,1.48,2.64
Leverkusen,Union Berlin,2,0,H,1.36,5.31,7.82,1.44,2.74
Werder Bremen,RB Leipzig,0,3,A,4.19,4.25,1.75,1.46,2.69
M'gladbach,Fortuna Dusseldorf,2,1,H,1.69,4.09,4.77,1.54,2.46
Ein Frankfurt,Dortmund,2,2,D,4.29,4.22,1.74,1.46,2.7
Wolfsburg,Hoffenheim,1,1,D,1.95,3.81,3.7,1.53,2.48
Union Berlin,Ein Frankfurt,1,2,A,2.99,3.64,2.3,1.58,2.39
Augsburg,Leverkusen,0,3,A,4.71,4.52,1.63,1.39,2.99
Hoffenheim,M'gladbach,0,3,A,2.43,3.61,2.79,1.58,2.38
Mainz,Wolfsburg,0,1,A,2.89,3.52,2.4,1.73,2.1
Paderborn,Bayern Munich,2,3,A,15.89,9.07,1.14,1.19,4.65
RB Leipzig,Schalke 04,1,3,A,1.56,4.41,5.57,1.5,2.56
Dortmund,Werder Bremen,2,2,D,1.27,6.3,10.09,1.32,3.36
Fortuna Dusseldorf,Freiburg,1,2,A,2.44,3.58,2.78,1.64,2.26
FC Koln,Hertha,0,4,A,2.15,3.66,3.23,1.61,2.32
Hertha,Fortuna Dusseldorf,3,1,H,1.68,4.09,4.88,1.6,2.35
Bayern Munich,Hoffenheim,1,2,A,1.11,10.03,23.32,1.21,4.31
Freiburg,Dortmund,2,2,D,5.3,4.32,1.59,1.45,2.72
Leverkusen,RB Leipzig,1,1,D,2.33,3.73,2.86,1.51,2.56
Paderborn,Mainz,1,2,A,2.49,3.75,2.64,1.44,2.76
Schalke 04,FC Koln,1,1,D,1.64,4.15,5.08,1.59,2.35
M'gladbach,Augsburg,5,1,H,1.53,4.53,5.75,1.5,2.59
Wolfsburg,Union Berlin,1,0,H,1.67,3.89,5.22,1.71,2.15
Ein Frankfurt,Werder Bremen,2,2,D,2.17,3.65,3.18,1.49,2.59
Ein Frankfurt,Leverkusen,3,0,H,2.85,3.79,2.32,1.52,2.52
Augsburg,Bayern Munich,2,2,D,16.44,8.18,1.16,1.28,3.64
Fortuna Dusseldorf,Mainz,1,0,H,2.57,3.55,2.65,1.66,2.22
RB Leipzig,Wolfsburg,1,1,D,1.54,4.35,5.9,1.61,2.32
Union Berlin,Freiburg,2,0,H,2.58,3.45,2.69,1.85,1.97
Werder Bremen,Hertha,1,1,D,2.14,3.68,3.25,1.52,2.51
Dortmund,M'gladbach,1,0,H,1.47,4.83,6.25,1.37,3.07
FC Koln,Paderborn,3,0,H,1.68,4.36,4.5,1.38,3.02
Hoffenheim,Schalke 04,2,0,H,2.69,3.52,2.55,1.71,2.15
Mainz,FC Koln,3,1,H,2.55,3.54,2.7,1.58,2.39
Bayern Munich,Union Berlin,2,1,H,1.11,10.24,20.85,1.2,4.43
Freiburg,RB Leipzig,2,1,H,3.96,3.74,1.9,1.63,2.27
Hertha,Hoffenheim,2,3,A,2.1,3.66,3.37,1.62,2.31
Paderborn,Fortuna Dusseldorf,2,0,H,2.38,3.85,2.73,1.39,2.97
Schalke 04,Dortmund,0,0,D,3.07,3.51,2.29,1.69,2.18
Leverkusen,Werder Bremen,2,2,D,1.62,4.29,5.1,1.43,2.78
Wolfsburg,Augsburg,0,0,D,1.59,4.19,5.6,1.62,2.29
M'gladbach,Ein Frankfurt,4,2,H,1.91,3.93,3.69,1.5,2.58
Hoffenheim,Paderborn,3,0,H,1.44,4.94,6.59,1.31,3.42
Dortmund,Wolfsburg,3,0,H,1.53,4.25,6.31,1.64,2.28
Ein Frankfurt,Bayern Munich,5,1,H,6.7,5.19,1.42,1.31,3.39
Leverkusen,M'gladbach,1,2,A,2.0,3.82,3.5,1.5,2.57
RB Leipzig,Mainz,8,0,H,1.35,5.32,8.32,1.42,2.87
Werder Bremen,Freiburg,2,2,D,1.95,3.73,3.74,1.65,2.25
Union Berlin,Hertha,1,0,H,2.81,3.34,2.53,1.9,1.91
Fortuna Dusseldorf,FC Koln,2,0,H,2.72,3.63,2.46,1.57,2.4
Augsburg,Schalke 04,2,3,A,3.75,3.79,1.93,1.71,2.14
FC Koln,Hoffenheim,1,2,A,2.58,3.59,2.64,1.61,2.33
Hertha,RB Leipzig,2,4,A,4.06,3.88,1.84,1.59,2.36
Mainz,Union Berlin,2,3,A,2.2,3.39,3.36,1.85,1.97
Paderborn,Augsburg,0,1,A,2.59,3.75,2.54,1.44,2.77
Schalke 04,Fortuna Dusseldorf,3,3,D,1.52,4.31,6.29,1.71,2.15
Bayern Munich,Dortmund,4,0,H,1.56,4.57,5.32,1.41,2.87
M'gladbach,Werder Bremen,3,1,H,1.73,4.12,4.35,1.5,2.56
Wolfsburg,Leverkusen,0,2,A,2.96,3.47,2.36,1.78,2.04
Freiburg,Ein Frankfurt,1,0,H,2.74,3.54,2.48,1.66,2.23
Dortmund,Paderborn,3,3,D,1.15,8.57,16.15,1.22,4.19
Ein Frankfurt,Wolfsburg,0,2,A,2.02,3.67,3.55,1.65,2.25
Fortuna Dusseldorf,Bayern Munich,0,4,A,13.56,7.57,1.19,1.29,3.5
Leverkusen,Freiburg,1,1,D,1.5,4.57,6.15,1.53,2.48
Union Berlin,M'gladbach,2,0,H,3.4,3.63,2.09,1.69,2.17
Werder Bremen,Schalke 04,1,2,A,2.45,3.62,2.74,1.59,2.36
RB Leipzig,FC Koln,4,1,H,1.35,5.46,8.08,1.39,2.97
Augsburg,Hertha,4,0,H,2.59,3.53,2.61,1.68,2.18
Hoffenheim,Mainz,1,5,A,1.66,4.07,4.88,1.53,2.46
Schalke 04,Union Berlin,2,1,H,1.71,3.87,4.93,1.76,2.07
FC Koln,Augsburg,1,1,D,1.92,3.76,3.82,1.64,2.26
Hertha,Dortmund,1,2,A,4.1,3.9,1.83,1.61,2.32
Hoffenheim,Fortuna Dusseldorf,1,1,D,1.7,3.97,4.79,1.6,2.32
Paderborn,RB Leipzig,2,3,A,7.46,5.46,1.37,1.33,3.29
Bayern Munich,Leverkusen,1,2,A,1.29,6.04,9.37,1.31,3.4
M'gladbach,Freiburg,4,2,H,1.56,4.41,5.44,1.55,2.42
Wolfsburg,Werder Bremen,2,3,A,2.17,3.64,3.17,1.7,2.16
Mainz,Ein Frankfurt,2,1,H,2.81,3.59,2.4,1.57,2.37
Ein Frankfurt,Hertha,2,2,D,1.83,3.91,4.11,1.59,2.37
Augsburg,Mainz,2,1,H,2.28,3.62,2.99,1.62,2.3
Dortmund,Fortuna Dusseldorf,5,0,H,1.3,5.75,9.24,1.41,2.88
Freiburg,Wolfsburg,1,0,H,2.88,3.36,2.46,1.88,1.93
M'gladbach,Bayern Munich,2,1,H,5.24,4.61,1.56,1.35,3.15
RB Leipzig,Hoffenheim,3,1,H,1.44,4.98,6.48,1.42,2.82
Leverkusen,Schalke 04,2,1,H,1.94,3.66,3.85,1.72,2.13
Union Berlin,FC Koln,2,0,H,2.18,3.47,3.29,1.81,2.0
Werder Bremen,Paderborn,0,1,A,1.53,4.63,5.49,1.33,3.29
Hoffenheim,Augsburg,2,4,A,1.84,3.98,4.02,1.56,2.42
Bayern Munich,Werder Bremen,6,1,H,1.15,8.74,16.7,1.22,4.16
FC Koln,Leverkusen,2,0,H,4.13,3.9,1.83,1.59,2.35
Hertha,Freiburg,1,0,H,2.03,3.63,3.59,1.79,2.04
Mainz,Dortmund,0,4,A,4.95,4.19,1.65,1.46,2.7
Paderborn,Union Berlin,1,1,D,2.8,3.58,2.43,1.64,2.26
Fortuna Dusseldorf,RB Leipzig,0,3,A,6.52,4.93,1.44,1.46,2.7
Wolfsburg,M'gladbach,2,1,H,2.6,3.41,2.68,1.74,2.09
Schalke 04,Ein Frankfurt,1,0,H,1.96,3.79,3.61,1.66,2.22
Werder Bremen,Mainz,0,5,A,1.82,4.0,4.08,1.43,2.8
Augsburg,Fortuna Dusseldorf,3,0,H,1.78,4.04,4.21,1.65,2.25
Dortmund,RB Leipzig,3,3,D,2.19,3.76,3.11,1.44,2.76
Union Berlin,Hoffenheim,0,2,A,2.44,3.48,2.86,1.79,2.03
Leverkusen,Hertha,0,1,A,1.54,4.33,5.97,1.51,2.53
Ein Frankfurt,FC Koln,2,4,A,1.75,3.85,4.59,1.58,2.37
Freiburg,Bayern Munich,1,3,A,11.08,6.88,1.23,1.28,3.6
M'gladbach,Paderborn,2,0,H,1.3,5.89,8.74,1.28,3.63
Wolfsburg,Schalke 04,1,1,D,2.38,3.33,3.04,1.99,1.82
Hoffenheim,Dortmund,2,1,H,3.76,3.94,1.9,1.46,2.69
Bayern Munich,Wolfsburg,2,0,H,1.16,7.96,16.49,1.31,3.39
FC Koln,Werder Bremen,1,0,H,2.08,3.74,3.32,1.55,2.42
Mainz,Leverkusen,0,1,A,3.86,3.99,1.86,1.47,2.65
RB Leipzig,Augsburg,3,1,H,1.26,6.17,10.65,1.33,3.27
Schalke 04,Freiburg,2,2,D,1.68,3.91,5.06,1.69,2.17
Hertha,M'gladbach,0,0,D,3.1,3.6,2.22,1.62,2.28
Fortuna Dusseldorf,Union Berlin,2,1,H,2.77,3.28,2.6,1.94,1.86
Paderborn,Ein Frankfurt,2,1,H,3.47,3.88,1.99,1.43,2.77
Parma,Juventus,0,1,A,10.41,5.13,1.31,1.74,2.09
Fiorentina,Napoli,3,4,A,4.73,3.67,1.76,1.78,2.04
Udinese,Milan,1,0,H,3.8,3.31,2.06,2.1,1.73
Cagliari,Brescia,0,1,A,1.82,3.6,4.45,1.99,1.82
Roma,Genoa,3,3,D,1.49,4.21,7.13,1.75,2.08
Sampdoria,Lazio,0,3,A,3.53,3.35,2.13,1.89,1.91
Spal,Atalanta,2,3,A,4.89,3.61,1.76,2.0,1.82
Torino,Sassuolo,2,1,H,1.89,3.46,4.32,1.99,1.82
Verona,Bologna,1,1,D,3.39,3.18,2.27,2.23,1.65
Inter,Lecce,4,0,H,1.23,6.1,13.23,1.56,2.41
Bologna,Spal,1,0,H,1.84,3.5,4.65,2.13,1.72
Milan,Brescia,1,0,H,1.48,4.18,7.48,1.83,1.98
Juventus,Napoli,4,3,H,1.98,3.35,4.13,2.05,1.77
Lazio,Roma,1,1,D,2.14,3.63,3.29,1.6,2.33
Atalanta,Torino,2,3,A,1.61,4.08,5.54,1.76,2.07
Cagliari,Inter,1,2,A,5.43,3.9,1.65,1.95,1.86
Genoa,Fiorentina,2,1,H,2.56,3.47,2.71,1.74,2.09
Lecce,Verona,0,1,A,1.92,3.59,4.05,1.94,1.87
Sassuolo,Sampdoria,4,1,H,2.27,3.49,3.12,1.73,2.11
Udinese,Parma,1,3,A,2.03,3.32,3.95,2.21,1.67
Fiorentina,Juventus,0,0,D,5.0,3.88,1.7,1.77,2.06
Napoli,Sampdoria,2,0,H,1.27,6.19,9.85,1.42,2.85
Inter,Udinese,1,0,H,1.33,5.29,9.27,1.67,2.21
Genoa,Atalanta,1,2,A,3.34,3.75,2.08,1.58,2.37
Brescia,Bologna,3,4,A,3.04,3.29,2.41,1.95,1.87
Parma,Cagliari,1,3,A,2.28,3.25,3.3,2.15,1.71
Spal,Lazio,2,1,H,5.55,4.07,1.61,1.77,2.06
Roma,Sassuolo,4,2,H,1.69,4.13,4.73,1.52,2.54
Verona,Milan,0,1,A,5.62,3.72,1.67,2.03,1.79
Torino,Lecce,1,2,A,1.5,4.31,6.82,1.81,2.01
Cagliari,Genoa,3,1,H,2.8,3.37,2.55,1.84,1.98
Udinese,Brescia,0,1,A,1.89,3.58,4.16,1.88,1.93
Juventus,Verona,2,1,H,1.15,7.74,20.29,1.57,2.4
Milan,Inter,0,2,A,3.37,3.2,2.27,2.11,1.73
Sassuolo,Spal,3,0,H,1.97,3.55,3.88,1.79,2.04
Bologna,Roma,1,2,A,2.81,3.57,2.42,1.6,2.33
Lecce,Napoli,1,4,A,8.81,5.18,1.35,1.56,2.42
Sampdoria,Torino,1,0,H,2.53,3.35,2.81,1.85,1.96
Atalanta,Fiorentina,2,2,D,2.02,3.69,3.55,1.58,2.38
Lazio,Parma,2,0,H,1.31,5.52,9.72,1.57,2.4
Verona,Udinese,0,0,D,2.56,3.18,2.92,2.13,1.72
Brescia,Juventus,1,2,A,6.33,4.0,1.57,1.89,1.94
Roma,Atalanta,0,2,A,2.25,3.72,2.98,1.44,2.76
Fiorentina,Sampdoria,2,1,H,1.7,4.04,4.73,1.68,2.19
Genoa,Bologna,0,0,D,2.37,3.52,2.91,1.68,2.2
Inter,Lazio,1,0,H,2.02,3.56,3.68,1.82,2.0
Napoli,Cagliari,0,1,A,1.2,7.02,13.29,1.37,3.08
Parma,Sassuolo,1,0,H,2.57,3.46,2.7,1.79,2.03
Spal,Lecce,1,3,A,1.97,3.57,3.83,1.76,2.07
Torino,Milan,2,1,H,2.46,3.21,3.02,2.11,1.73
Juventus,Spal,2,0,H,1.24,6.03,13.13,1.66,2.23
Sampdoria,Inter,1,3,A,5.15,3.92,1.67,1.76,2.08
Sassuolo,Atalanta,1,4,A,3.39,3.81,2.03,1.57,2.39
Napoli,Brescia,2,1,H,1.27,6.1,10.19,1.41,2.89
Lazio,Genoa,4,0,H,1.46,4.74,6.56,1.5,2.58
Lecce,Roma,0,1,A,4.34,3.98,1.76,1.48,2.64
Udinese,Bologna,1,0,H,2.87,3.26,2.53,2.03,1.8
Cagliari,Verona,1,1,D,2.08,3.35,3.72,2.17,1.69
Milan,Fiorentina,1,3,A,2.34,3.19,3.25,2.13,1.72
Parma,Torino,3,2,H,3.11,3.32,2.34,1.99,1.83
Spal,Parma,1,0,H,2.42,3.23,3.07,2.0,1.81
Verona,Sampdoria,2,0,H,2.47,3.3,2.93,1.92,1.89
Genoa,Milan,1,2,A,2.96,3.26,2.47,2.0,1.81
Fiorentina,Udinese,1,0,H,1.56,4.1,6.11,1.87,1.94
Atalanta,Lecce,3,1,H,1.28,6.09,9.64,1.42,2.86
Bologna,Lazio,2,2,D,3.31,3.7,2.1,1.68,2.19
Roma,Cagliari,1,1,D,1.45,4.71,6.77,1.5,2.57
Torino,Napoli,0,0,D,4.06,3.8,1.85,1.66,2.23
Inter,Juventus,1,2,A,2.63,3.14,2.84,2.15,1.71
Lazio,Atalanta,3,3,D,2.21,3.7,3.08,1.56,2.41
Napoli,Verona,2,0,H,1.21,6.66,14.08,1.5,2.58
Juventus,Bologna,2,1,H,1.33,5.11,10.07,1.66,2.23
Sassuolo,Inter,3,4,A,5.15,3.79,1.7,1.72,2.13
Cagliari,Spal,2,0,H,2.12,3.35,3.6,2.07,1.76
Sampdoria,Roma,0,0,D,3.28,3.54,2.17,1.65,2.24
Udinese,Torino,1,0,H,2.83,3.16,2.63,2.17,1.69
Parma,Genoa,5,1,H,2.51,3.21,2.95,2.02,1.81
Milan,Lecce,2,2,D,1.4,4.82,7.9,1.74,2.1
Brescia,Fiorentina,0,0,D,3.7,3.57,2.0,1.78,2.04
Verona,Sassuolo,0,1,A,2.44,3.27,3.02,1.95,1.87
Lecce,Juventus,1,1,D,9.07,5.15,1.34,1.6,2.34
Inter,Parma,2,2,D,1.27,5.74,11.41,1.56,2.41
Genoa,Brescia,3,1,H,1.89,3.79,3.93,1.7,2.15
Bologna,Sampdoria,2,1,H,1.91,3.66,3.96,1.81,2.01
Atalanta,Udinese,7,1,H,1.43,4.65,7.41,1.65,2.24
Spal,Napoli,1,1,D,7.28,4.71,1.43,1.6,2.34
Torino,Cagliari,1,1,D,1.81,3.7,4.42,1.93,1.88
Roma,Milan,2,1,H,2.19,3.47,3.27,1.76,2.07
Fiorentina,Lazio,1,2,A,2.46,3.51,2.8,1.73,2.12
Parma,Verona,0,1,A,2.71,3.11,2.81,2.14,1.72
Brescia,Inter,1,2,A,6.55,4.33,1.51,1.7,2.16
Napoli,Atalanta,2,2,D,2.03,3.74,3.46,1.51,2.56
Cagliari,Bologna,3,2,H,2.71,3.34,2.63,1.92,1.89
Juventus,Genoa,2,1,H,1.27,5.69,11.91,1.61,2.32
Lazio,Torino,4,0,H,1.56,4.16,5.94,1.72,2.13
Sampdoria,Lecce,1,1,D,1.73,3.82,4.76,1.8,2.02
Sassuolo,Fiorentina,1,2,A,2.81,3.45,2.48,1.75,2.08
Udinese,Roma,0,4,A,3.97,3.59,1.93,1.95,1.86
Milan,Spal,1,0,H,1.47,4.25,7.29,1.81,2.01
Roma,Napoli,2,1,H,2.69,3.58,2.52,1.62,2.29
Bologna,Inter,1,2,A,3.61,3.54,2.04,1.81,2.0
Torino,Juventus,0,1,A,6.57,4.04,1.54,1.95,1.86
Atalanta,Cagliari,0,2,A,1.31,5.59,9.56,1.41,2.87
Genoa,Udinese,1,3,A,1.93,3.5,4.07,2.04,1.79
Lecce,Sassuolo,2,2,D,2.76,3.32,2.58,1.83,1.98
Verona,Brescia,2,1,H,2.13,3.23,3.68,2.19,1.68
Fiorentina,Parma,1,1,D,1.5,4.37,6.46,1.7,2.15
Milan,Lazio,1,2,A,3.05,3.42,2.32,1.92,1.88
Spal,Sampdoria,0,1,A,2.62,3.24,2.77,2.06,1.76
Sassuolo,Bologna,3,1,H,2.73,3.45,2.57,1.69,2.19
Brescia,Torino,0,4,A,2.78,3.29,2.59,1.95,1.86
Inter,Verona,2,1,H,1.33,5.11,9.72,1.63,2.27
Napoli,Genoa,0,0,D,1.38,5.08,7.67,1.49,2.59
Cagliari,Fiorentina,5,2,H,2.86,3.32,2.5,1.94,1.87
Lazio,Lecce,4,2,H,1.24,6.45,11.03,1.36,3.14
Sampdoria,Atalanta,0,0,D,3.91,3.81,1.88,1.64,2.25
Udinese,Spal,0,0,D,2.12,3.23,3.72,2.08,1.75
Parma,Roma,2,0,H,3.97,3.72,1.89,1.72,2.12
Juventus,Milan,1,0,H,1.4,4.67,8.01,1.8,2.01
Atalanta,Juventus,1,3,A,2.72,3.41,2.55,1.77,2.05
Milan,Napoli,1,1,D,3.2,3.47,2.22,1.89,1.92
Torino,Inter,0,3,A,4.36,3.57,1.84,1.91,1.89
Bologna,Parma,2,2,D,1.78,3.82,4.4,1.83,1.98
Roma,Brescia,3,0,H,1.34,5.21,8.88,1.49,2.59
Sassuolo,Lazio,1,2,A,4.36,4.06,1.74,1.53,2.48
Verona,Fiorentina,1,0,H,3.26,3.23,2.29,2.08,1.75
Sampdoria,Udinese,2,1,H,2.13,3.23,3.63,2.32,1.61
Lecce,Cagliari,2,2,D,3.11,3.52,2.23,1.76,2.07
Spal,Genoa,1,1,D,2.55,3.21,2.86,2.1,1.73
Brescia,Atalanta,0,3,A,6.47,4.66,1.47,1.49,2.6
Genoa,Torino,0,1,A,2.42,3.3,2.98,1.99,1.82
Fiorentina,Lecce,0,1,A,1.42,4.74,7.26,1.5,2.56
Juventus,Sassuolo,2,2,D,1.23,6.3,12.33,1.51,2.54
Inter,Spal,2,1,H,1.26,5.77,11.86,1.61,2.3
Lazio,Udinese,3,0,H,1.3,5.42,10.0,1.51,2.52
Parma,Milan,0,1,A,3.55,3.33,2.13,1.99,1.82
Napoli,Bologna,1,2,A,1.48,4.5,6.56,1.56,2.41
Verona,Roma,1,3,A,4.28,3.57,1.86,1.89,1.92
Cagliari,Sampdoria,4,3,H,2.17,3.28,3.47,2.04,1.77
Inter,Roma,0,0,D,1.89,3.78,3.97,1.64,2.28
Atalanta,Verona,3,2,H,1.33,5.19,9.39,1.56,2.41
Udinese,Napoli,1,1,D,5.24,3.78,1.68,1.9,1.91
Lazio,Juventus,3,1,H,2.84,3.44,2.44,1.8,2.01
Lecce,Genoa,2,2,D,2.66,3.49,2.55,1.75,2.08
Sassuolo,Cagliari,2,2,D,2.4,3.48,2.87,1.7,2.15
Spal,Brescia,0,1,A,2.05,3.37,3.75,2.15,1.7
Torino,Fiorentina,2,1,H,2.46,3.2,3.0,2.08,1.74
Sampdoria,Parma,0,1,A,2.02,3.39,3.83,2.08,1.75
Bologna,Milan,2,3,A,2.94,3.37,2.41,1.86,1.94
Brescia,Lecce,3,0,H,2.02,3.72,3.52,1.69,2.16
Napoli,Parma,1,2,A,1.31,5.5,9.72,1.51,2.51
Genoa,Sampdoria,0,1,A,2.67,3.18,2.77,2.02,1.79
Verona,Torino,3,3,D,2.76,3.13,2.71,2.21,1.66
Bologna,Atalanta,2,1,H,3.69,3.89,1.91,1.55,2.42
Juventus,Udinese,3,1,H,1.22,6.25,14.04,1.61,2.3
Milan,Sassuolo,0,0,D,1.55,4.45,5.55,1.6,2.32
Roma,Spal,3,1,H,1.29,5.42,10.89,1.58,2.35
Fiorentina,Inter,1,1,D,3.6,3.49,2.05,1.86,1.94
Cagliari,Lazio,1,2,A,3.92,4.01,1.82,1.56,2.4
Sampdoria,Juventus,1,2,A,6.15,4.32,1.53,1.87,1.93
Brescia,Sassuolo,0,2,A,2.37,3.6,2.86,1.64,2.25
Fiorentina,Roma,1,4,A,3.09,3.48,2.3,1.77,2.05
Udinese,Cagliari,2,1,H,2.53,3.3,2.84,1.92,1.88
Inter,Genoa,4,0,H,1.35,4.94,9.17,1.64,2.24
Torino,Spal,1,2,A,1.7,3.68,5.26,2.0,1.8
Atalanta,Milan,5,0,H,1.8,3.79,4.32,1.66,2.22
Lecce,Bologna,2,3,A,3.21,3.65,2.15,1.58,2.36
Parma,Brescia,1,1,D,2.08,3.36,3.67,1.96,1.84
Sassuolo,Napoli,1,2,A,4.65,4.27,1.66,1.49,2.57
Ath Bilbao,Barcelona,1,0,H,5.07,3.81,1.71,1.79,2.05
Celta,Real Madrid,1,3,A,4.67,4.12,1.69,1.49,2.58
Valencia,Sociedad,1,1,D,1.68,3.8,5.29,2.07,1.77
Mallorca,Eibar,2,1,H,2.91,3.09,2.62,2.34,1.6
Leganes,Osasuna,0,1,A,2.06,3.18,4.02,2.59,1.49
Villarreal,Granada,4,4,D,1.61,3.95,5.8,1.84,1.98
Alaves,Levante,1,0,H,2.23,3.25,3.43,2.13,1.72
Espanol,Sevilla,0,2,A,3.08,3.41,2.33,1.92,1.89
Betis,Valladolid,1,2,A,1.64,3.76,5.78,2.13,1.72
Ath Madrid,Getafe,1,0,H,1.47,4.23,7.63,2.23,1.66
Granada,Sevilla,0,1,A,3.95,3.58,1.94,1.89,1.93
Levante,Villarreal,2,1,H,2.59,3.54,2.63,1.7,2.17
Osasuna,Eibar,0,0,D,2.53,3.12,2.99,2.29,1.63
Real Madrid,Valladolid,1,1,D,1.21,6.97,13.16,1.36,3.1
Celta,Valencia,1,0,H,3.17,3.45,2.26,1.89,1.92
Getafe,Ath Bilbao,1,1,D,2.61,2.94,3.06,2.84,1.42
Alaves,Espanol,0,0,D,2.52,3.18,2.97,2.47,1.55
Mallorca,Sociedad,0,1,A,3.02,3.23,2.44,2.08,1.75
Leganes,Ath Madrid,0,1,A,5.18,3.29,1.81,2.54,1.52
Barcelona,Betis,5,2,H,1.27,6.07,10.56,1.39,2.95
Sevilla,Celta,1,1,D,1.55,4.31,5.97,1.65,2.25
