Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals,Unnamed: 11
2023-09-01 00:00:00,Nantes,Marseille,1,1,D,4.76,3.94,1.72,1.74,2.13,1473.19,1529.38,-56.2,1.33,2.33,0,1,2,2.0,1.0,2,1,0,0,0,0,0.0,0.0,
2023-09-02 00:00:00,Brest,Rennes,0,0,D,3.32,3.64,2.13,1.74,2.11,1513.68,1512.5,1.18,1.67,1.67,2,0,1,2.67,1.33,1,2,0,0,0,0,0.0,0.0,
2023-09-02 00:00:00,Monaco,Lens,3,0,H,2.09,3.84,3.25,1.59,2.38,1527.46,1471.91,55.55,3.33,1.67,2,1,0,1.33,2.33,0,1,2,0,0,0,0.0,0.0,
2023-09-03 00:00:00,Le Havre,Lorient,3,0,H,2.78,3.15,2.7,2.24,1.66,1486.86,1515.62,-28.76,1.67,2.0,0,2,1,1.67,0.67,1,2,0,0,0,0,0.0,0.0,
2023-09-03 00:00:00,Lille,Montpellier,1,0,H,1.78,4.11,4.1,1.6,2.36,1498.73,1498.73,0.0,1.33,1.67,1,1,1,2.33,2.0,1,1,1,0,0,0,0.0,0.0,
2023-09-03 00:00:00,Metz,Reims,2,2,D,3.95,3.67,1.91,1.85,1.98,1500.59,1515.62,-15.03,1.33,2.33,1,1,1,2.0,1.0,2,0,1,0,0,0,0.0,0.0,
2023-09-03 00:00:00,Nice,Strasbourg,2,0,H,1.95,3.56,3.91,1.93,1.89,1498.74,1515.62,-16.88,0.67,0.67,0,3,0,1.33,1.33,2,0,1,0,0,0,0.0,0.0,
2023-09-03 00:00:00,Lyon,Paris SG,1,4,A,5.78,4.85,1.5,1.42,2.85,1471.91,1515.03,-43.12,0.67,2.0,0,1,2,1.33,0.67,1,2,0,0,0,0,0.0,0.0,
2023-09-03 00:00:00,Toulouse,Clermont,2,2,D,1.99,3.65,3.69,1.86,1.97,1498.73,1455.7,43.03,1.0,1.33,1,1,1,0.67,2.33,0,0,3,0,0,0,0.0,0.0,
2023-09-15 00:00:00,Paris SG,Nice,2,3,A,1.54,4.49,5.81,1.6,2.35,1528.18,1514.46,13.71,2.0,0.75,2,2,0,1.0,0.5,1,3,0,0,0,0,0.0,0.0,
2023-09-16 00:00:00,Lens,Metz,0,1,A,1.5,4.51,6.29,1.67,2.23,1459.29,1501.24,-41.95,1.0,2.5,0,1,3,1.5,2.25,1,2,1,0,0,0,0.0,0.0,
2023-09-16 00:00:00,Rennes,Lille,2,2,D,2.13,3.66,3.3,1.74,2.12,1512.55,1513.73,-1.18,2.0,1.0,1,3,0,1.25,1.25,2,1,1,0,0,0,0.0,0.0,
2023-09-17 00:00:00,Marseille,Toulouse,0,0,D,1.48,4.72,6.24,1.55,2.46,1526.98,1496.89,30.09,1.75,1.0,2,2,0,1.25,1.5,1,2,1,0,0,0,0.0,0.0,
2023-09-17 00:00:00,Reims,Brest,1,2,A,1.88,3.67,4.12,1.82,2.02,1514.97,1513.63,1.34,2.0,1.25,2,1,1,1.25,1.25,2,1,1,0,0,0,0.0,0.0,
2023-09-17 00:00:00,Clermont,Nantes,0,1,A,2.0,3.54,3.75,1.99,1.84,1457.55,1475.59,-18.04,1.0,2.25,0,1,3,1.25,2.0,0,2,2,0,0,0,0.0,0.0,
2023-09-17 00:00:00,Lorient,Monaco,2,2,D,3.94,3.87,1.87,1.63,2.29,1499.38,1540.08,-40.7,1.25,1.25,1,2,1,3.25,1.25,3,1,0,0,0,0,0.0,0.0,
2023-09-17 00:00:00,Lyon,Le Havre,0,0,D,1.69,4.12,4.68,1.68,2.21,1458.76,1503.1,-44.33,0.75,2.5,0,1,3,2.0,1.5,1,2,1,0,0,0,0.0,0.0,
2023-09-17 00:00:00,Strasbourg,Montpellier,2,2,D,2.33,3.54,2.96,1.82,2.01,1499.89,1483.73,16.16,1.0,1.5,2,0,2,1.75,1.75,1,1,2,0,0,0,0.0,0.0,
2023-09-22 00:00:00,Monaco,Nice,0,1,A,2.19,3.56,3.22,1.72,2.14,1538.33,1530.06,8.28,3.0,1.4,3,2,0,1.4,0.8,2,3,0,0,0,0,0.0,0.0,
2023-09-23 00:00:00,Nantes,Lorient,5,3,H,2.41,3.39,2.94,1.95,1.88,1489.81,1501.13,-11.32,1.2,1.6,1,2,2,1.4,1.4,1,3,1,0,0,0,0.0,0.0,
2023-09-23 00:00:00,Brest,Lyon,1,0,H,2.53,3.61,2.65,1.66,2.25,1528.68,1460.67,68.02,1.4,1.2,3,1,1,0.6,2.0,0,2,3,0,0,0,0.0,0.0,
2023-09-24 00:00:00,Metz,Strasbourg,0,1,A,2.91,3.24,2.51,2.14,1.73,1514.44,1499.19,15.24,1.4,1.8,2,2,1,1.2,1.6,2,1,2,0,0,0,0.0,0.0,
2023-09-24 00:00:00,Le Havre,Clermont,2,1,H,2.43,3.27,3.0,2.13,1.73,1501.19,1443.33,57.86,1.6,1.2,1,3,1,0.8,2.0,0,1,4,0,0,0,0.0,0.0,
2023-09-24 00:00:00,Lens,Toulouse,2,1,H,1.7,3.97,4.75,1.75,2.1,1446.09,1498.18,-52.09,0.8,2.2,0,1,4,1.0,1.2,1,3,1,0,0,0,0.0,0.0,
2023-09-24 00:00:00,Montpellier,Rennes,0,0,D,2.65,3.53,2.56,1.74,2.12,1484.43,1512.6,-28.17,1.8,1.8,1,2,2,2.0,1.2,1,4,0,0,0,0,0.0,0.0,
2023-09-24 00:00:00,Paris SG,Marseille,4,0,H,1.63,4.34,4.9,1.53,2.51,1512.58,1525.68,-13.1,2.0,1.2,2,2,1,1.4,0.8,2,3,0,0,0,0,0.0,0.0,
2023-09-26 00:00:00,Lille,Reims,1,2,A,1.94,3.7,3.85,1.83,2.01,1513.68,1499.91,13.77,1.4,1.4,2,2,1,1.8,1.4,2,1,2,0,0,0,0.0,0.0,
2023-09-29 00:00:00,Strasbourg,Lens,0,1,A,3.55,3.46,2.12,2.01,1.83,1514.85,1463.32,51.53,1.0,1.4,2,1,2,0.8,1.8,1,1,3,0,0,0,0.0,0.0,
2023-09-30 00:00:00,Clermont,Paris SG,0,0,D,6.78,4.77,1.45,1.6,2.36,1430.8,1528.15,-97.34,0.6,1.6,0,1,4,2.8,1.2,3,1,1,0,0,0,0.0,0.0,
2023-09-30 00:00:00,Monaco,Marseille,3,2,H,2.2,3.82,3.06,1.55,2.47,1522.98,1510.12,12.86,2.2,1.2,2,2,1,1.0,1.4,1,3,1,0,0,0,0.0,0.0,
2023-10-01 00:00:00,Toulouse,Metz,3,0,H,2.14,3.47,3.47,1.96,1.86,1480.95,1498.78,-17.83,0.8,1.4,0,3,2,1.2,1.0,2,2,1,0,0,0,0.0,0.0,
2023-10-01 00:00:00,Rennes,Nantes,3,1,H,1.52,4.53,5.99,1.66,2.25,1511.39,1505.3,6.09,1.0,1.0,0,5,0,2.0,1.8,2,2,1,0,0,0,0.0,0.0,
2023-10-01 00:00:00,Le Havre,Lille,0,2,A,3.93,3.47,1.99,2.03,1.8,1513.72,1498.09,15.63,1.6,1.0,2,2,1,1.4,1.6,2,1,2,0,0,0,0.0,0.0,
2023-10-01 00:00:00,Nice,Brest,0,0,D,1.76,3.85,4.57,1.89,1.94,1545.41,1540.79,4.63,1.4,0.6,3,2,0,1.0,0.8,3,1,1,0,0,0,0.0,0.0,
2023-10-01 00:00:00,Lorient,Montpellier,0,3,A,2.92,3.54,2.38,1.78,2.04,1485.64,1485.64,-0.0,2.0,2.4,1,2,2,1.4,1.4,1,2,2,0,0,0,0.0,0.0,
2023-10-01 00:00:00,Reims,Lyon,2,0,H,2.05,3.8,3.38,1.65,2.26,1515.51,1448.57,66.94,2.0,1.2,3,1,1,0.4,1.8,0,2,3,0,0,0,0.0,0.0,
2023-10-06 00:00:00,Strasbourg,Nantes,1,2,A,2.24,3.23,3.48,2.22,1.67,1497.64,1490.56,7.08,1.0,1.0,2,1,2,2.2,2.0,2,2,1,0,0,0,0.0,0.0,
2023-10-07 00:00:00,Metz,Nice,0,1,A,4.88,3.81,1.73,1.94,1.89,1483.01,1545.21,-62.2,0.8,1.2,2,1,2,1.2,0.4,3,2,0,0,0,0,0.0,0.0,
2023-10-07 00:00:00,Reims,Monaco,1,3,A,2.64,3.66,2.55,1.59,2.37,1527.65,1537.42,-9.77,2.0,1.2,3,1,1,2.2,1.6,2,2,1,0,0,0,0.0,0.0,
2023-10-08 00:00:00,Lens,Lille,1,1,D,2.23,3.49,3.22,1.91,1.9,1480.53,1513.76,-33.23,0.8,1.6,2,0,3,1.4,1.6,2,1,2,0,0,0,0.0,0.0,
2023-10-08 00:00:00,Rennes,Paris SG,1,3,A,3.48,3.61,2.08,1.75,2.1,1526.12,1524.05,2.07,1.4,1.0,1,4,0,2.6,1.0,3,1,1,0,0,0,0.0,0.0,
2023-10-08 00:00:00,Brest,Toulouse,1,1,D,1.82,3.71,4.39,1.94,1.87,1540.99,1496.72,44.27,0.6,0.6,2,2,1,1.2,1.2,1,2,2,0,0,0,0.0,0.0,
2023-10-08 00:00:00,Marseille,Le Havre,3,0,H,1.49,4.53,6.48,1.73,2.13,1495.67,1498.04,-2.37,1.0,1.6,1,2,2,1.4,1.0,2,2,1,0,0,0,0.0,0.0,
