Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
2023-09-15 00:00:00,Bayern Munich,Leverkusen,2,2,D,1.62,4.66,4.76,1.37,3.09,1542.48,1541.87,0.61,3.0,0.67,3,0,0,3.67,1.0,3,0,0,0,0,0,0.0,0.0
2023-09-16 00:00:00,FC Koln,Hoffenheim,1,3,A,2.22,3.78,3.05,1.61,2.35,1473.11,1516.24,-43.12,0.67,1.33,0,1,2,2.33,1.67,2,0,1,0,0,0,0.0,0.0
2023-09-16 00:00:00,Freiburg,Dortmund,2,4,A,3.16,3.84,2.15,1.51,2.58,1512.42,1511.83,0.59,1.0,2.0,2,0,1,1.33,1.0,1,2,0,0,0,0,0.0,0.0
2023-09-16 00:00:00,Mainz,Stuttgart,1,3,A,2.55,3.65,2.66,1.69,2.2,1470.64,1515.0,-44.36,0.67,3.0,0,1,2,3.67,1.67,2,0,1,0,0,0,0.0,0.0
2023-09-16 00:00:00,RB Leipzig,Augsburg,3,0,H,1.23,6.98,11.49,1.37,3.1,1517.47,1485.68,31.8,3.33,1.33,2,0,1,2.33,3.0,0,2,1,0,0,0,0.0,0.0
2023-09-16 00:00:00,Wolfsburg,Union Berlin,2,1,H,2.26,3.47,3.22,1.94,1.9,1512.47,1512.53,-0.06,1.67,1.33,2,0,1,2.67,1.67,2,0,1,0,0,0,0.0,0.0
2023-09-16 00:00:00,Bochum,Ein Frankfurt,1,1,D,2.93,3.63,2.35,1.72,2.15,1486.26,1511.89,-25.62,1.0,2.67,0,2,1,1.0,0.67,1,2,0,0,0,0,0.0,0.0
2023-09-17 00:00:00,Heidenheim,Werder Bremen,4,2,H,2.35,3.79,2.83,1.64,2.29,1471.88,1486.94,-15.06,1.33,2.33,0,1,2,1.33,1.67,1,0,2,0,0,0,0.0,0.0
2023-09-17 00:00:00,Darmstadt,M'gladbach,3,3,D,2.96,3.61,2.34,1.78,2.06,1458.78,1472.52,-13.75,0.67,3.33,0,0,3,1.67,3.0,0,1,2,0,0,0,0.0,0.0
2023-09-22 00:00:00,Stuttgart,Darmstadt,3,1,H,1.38,5.14,7.89,1.56,2.47,1528.1,1459.37,68.73,3.5,1.5,3,0,1,1.25,3.25,0,1,3,0,0,0,0.0,0.0
